Accuracy,Loss,Val_Accuracy,Val_Loss
0.7498,0.8211,0.7710,0.7018
0.7635,0.7102,0.8027,0.5785
0.8074,0.5576,0.8377,0.4447
0.8283,0.4589,0.8475,0.4016
0.8455,0.4108,0.8437,0.3762
0.8582,0.3812,0.8508,0.3717
0.8668,0.3631,0.8601,0.3475
0.8743,0.3352,0.8607,0.3478
0.8749,0.3360,0.8650,0.3375    
0.8797,0.3186,0.8683,0.3440    
0.8863,0.3084,0.8727,0.3325    
0.8858,0.3099,0.8634,0.3368
0.8891,0.2992,0.8705,0.3265
0.8981,0.2841,0.8721,0.3306
0.8975,0.2788,0.8743,0.3296
0.8961,0.2811,0.8694,0.3353
0.9030,0.2606,0.8792,0.3218
0.9102,0.2498,0.8770,0.3231
0.9058,0.2608,0.8732,0.3321
0.9114,0.2423,0.8760,0.3200
0.9120,0.2503,0.8765,0.3212
0.9162,0.2317,0.8716,0.3362
0.9129,0.2434,0.8699,0.3362
0.9144,0.2353,0.8710,0.3462
0.9162,0.2342,0.8694,0.3386
0.9160,0.2357,0.8770,0.3386
0.9174,0.2306,0.8754,0.3622
0.9208,0.2221,0.8792,0.3331
0.9232,0.2172,0.8792,0.3365
0.9236,0.2176,0.8765,0.3219
